channel,per_channel_auc,probe_weight_abs
32,0.3984302626229775,0.039189607
68,0.5375433511947383,0.039183926
141,0.4592592970667254,0.039036814
190,0.51373780847643,0.038344778
4,0.5736947870576068,0.03804663
130,0.60918771803285,0.037846312
100,0.4938503609437606,0.037766203
236,0.510381626358293,0.037707757
55,0.5543155933649646,0.036911972
9,0.5351669195065252,0.036691707
5,0.46153067256976044,0.03630594
227,0.4614809401411252,0.03629805
41,0.553686368329622,0.036026396
136,0.6135584393171225,0.035201836
211,0.4070139207051539,0.035193846
86,0.5153690014137,0.03472909
8,0.590410521530293,0.033551104
66,0.4801689234285155,0.033447254
60,0.4725752849038343,0.033179652
164,0.5033615960559781,0.033008434
173,0.5871475241015311,0.032740533
177,0.47978560089245825,0.032666247
78,0.5505387838158011,0.032537352
247,0.4966568890555837,0.0314637
104,0.5457296511561829,0.031441692
77,0.41169965265119024,0.031423327
22,0.5115212848846002,0.030955905
33,0.5605901394203743,0.03089151
212,0.5067633088449363,0.03079565
210,0.4486872510834433,0.030608376
65,0.5127273527789216,0.030420301
23,0.48144506197286785,0.03041028
110,0.48053123726292984,0.030051602
48,0.47431236371171015,0.030028328
179,0.4943092352993119,0.029904397
176,0.4893140083073455,0.029883554
182,0.5199812238428336,0.029878132
231,0.509070487328719,0.029670827
242,0.5048799895436905,0.028928297
116,0.4594875061964125,0.028440367
245,0.5387965307958423,0.027557964
91,0.44880619431425056,0.027132396
213,0.5041855938982713,0.026962599
178,0.48232205844167764,0.026917396
113,0.4916921080217205,0.026839577
43,0.5215913265087554,0.026805528
73,0.585118905025061,0.026750846
132,0.3957810867567693,0.026228694
146,0.4297087242865274,0.025395706
111,0.5632737671652648,0.025199518
240,0.586134098672241,0.025054764
208,0.5255879748943659,0.024982484
37,0.4981944646255881,0.024969527
168,0.4946862602694336,0.024755858
16,0.514192202093535,0.024639405
79,0.45847638395288715,0.024399964
185,0.48240250391893036,0.023790708
63,0.5245380730315516,0.023530772
216,0.5487947635396531,0.02352216
151,0.5307003953464177,0.02329474
194,0.5590737387513802,0.02260776
217,0.5285371566182057,0.022486765
180,0.3894913107718347,0.022202266
137,0.3835095076354665,0.022158138
18,0.5187962833764788,0.022146963
54,0.5422608245971567,0.022118647
103,0.5189870819115463,0.022112224
238,0.4576889319614236,0.021911109
102,0.5533436949590271,0.021889564
93,0.5989665798513211,0.02172516
131,0.6019759726946942,0.021623507
226,0.48998323580813896,0.021554817
244,0.46706447206565443,0.021464728
6,0.46654592654180294,0.021143919
11,0.47493675891124987,0.02102324
237,0.5278356592502056,0.020751094
35,0.4362095488137422,0.020339623
204,0.4397141620920313,0.019891812
181,0.39634525562441913,0.01939327
28,0.5847439241060772,0.019351188
122,0.4965924987344893,0.019325923
139,0.49784870428315264,0.01928729
30,0.5257867754787302,0.01902469
223,0.5106029360722569,0.018958325
220,0.5137928415370775,0.018685874
46,0.5432784113054038,0.018422717
125,0.4488617853361625,0.018289795
218,0.5372195075742674,0.018183783
234,0.5720432787174758,0.018161174
0,0.4649586762452057,0.018053727
82,0.47285413929098175,0.01800039
163,0.4832239626090765,0.017871102
95,0.5706828137963835,0.01776199
85,0.5018604129018269,0.017506279
36,0.5634166280674974,0.017094
135,0.42029582394582304,0.016787978
52,0.4634364293976169,0.01672277
224,0.42162946414910907,0.016633129
147,0.5311391086083579,0.016601013
138,0.4565895926498089,0.016374448
144,0.4167153412245248,0.016330931
69,0.5028517902932925,0.016055472
196,0.49725802403727204,0.015739335
51,0.5273908209164658,0.015508433
214,0.4597063031612851,0.015425204
